,neighborhood,neighborhood_id,city_id
0,حي النرجس,600,21
1,حي العارض,494,21
2,حي طويق,682,21
3,حي المهدية,588,21
4,حي الرمال,446,21
5,حي الواحة,3614,66
6,حي الملقا,570,21
7,حي بدر,648,21
8,حي ظهرة لبن,688,21
9,حي المونسية,590,21
10,حي بنبان,650,21
11,حي القيروان,536,21
12,حي الشرق,476,21
13,حي الزمرد,3494,66
14,حي الياسمين,632,21
15,حي عكاظ,698,21
16,حي ضاحية الملك فهد,1316,18
17,حي مريخ,3646,66
18,حي الرياض,3490,66
19,حي اليرموك,634,21
20,حي الريان,3492,66
21,حي ضاحية نمار,680,21
22,حي الحزم,414,21
23,حي النور,1306,18
24,حي الشعلة,1244,18
25,حي حطين,664,21
26,حي القادسية,530,21
27,حي الامواج,1044,12
28,حي المنار,3592,66
29,حي المروة,3586,66
30,حي العقيق,1096,12
31,حي قرطبة,706,21
32,حي النهضة,614,21
33,حي الصوارى,3532,66
34,حي الحمرا,1070,12
35,حي عريض,696,21
36,حي الصواري,1092,12
37,حي الخليج,422,21
38,حي الشراع,1090,12
39,حي الياقوت,3622,66
40,حي الصحافة,486,21
41,حي الصالحية,3524,66
42,حي الصفا,3528,66
43,حي الدار البيضاء,424,21
44,حي الملك فهد,3766,94
45,حي القريقر,3814,1
46,حي ظهرة نمار,690,21
47,حي الفروسية,3548,66
48,حي العقيق,504,21
49,حي النقرة,2056,67
50,حي اشبيلية,390,21
51,حي اللؤلؤ,1104,12
52,حي عرقة,694,21
53,حي الربيع,4014,70
54,حي العريجاء الغربية,498,21
55,حي الشفا,478,21
56,حي طيبة,1318,18
57,حي الكوثر,1100,12
58,حي الرحاب,2298,52
59,حي العزيزية,502,21
60,حي طيبة,3638,66
61,حي الغطغط,886,43
62,حي الجنادرية,410,21
63,حي جبرة,3362,26
64,حي السيف,1236,18
65,حي النخيل,596,21
66,حي طيبة,684,21
67,حي مخطط الدخل المحدود,1022,8
68,حي مخطط الموسى,4086,70
69,حي الروضة,452,21
70,حي بحرة,3630,66
71,حي الدرعية الجديدة,304,16
72,حي الرحمانية,3480,66
73,حي الفردوس,1264,18
74,حي النزهة,3602,66
75,حي التحلية,1056,12
76,حي النسيم الغربي,606,21
77,حي الحمدانية,3468,66
78,حي الشاطئ,154,65
79,حي جنوب الهفوف,1652,46
80,حي الشراع,3516,66
81,حي العكيشية,3748,94
82,حي النفل,610,21
83,حي البحيرة,1050,12
84,حي السلامة,3508,66
85,حي الندى,598,21
86,حي القدس,532,21
87,حي الربيع,440,21
88,حي العليا,506,21
89,حي السويس,152,65
90,حي ابحر الشمالية,3424,66
91,حي الواحة,4064,70
92,حي المحمدية,538,21
93,حي اللؤلؤ,3572,66
94,حي المرجان,1108,12
95,حي المصيف,556,21
96,حي الوادي,622,21
97,حي النظيم,608,21
98,حي الازدهار,392,21
99,حي غرناطة,704,21
100,حي البحر,1048,12
101,حي السويدي,470,21
102,حي الحمراء,416,21
103,حي بدر,1312,18
104,حي القرينة,3562,66
105,حي الفلاح,522,21
106,حي هجر,1354,27
107,حي الفيصلية,3558,66
108,حي المنار,1288,18
109,حي نمار,718,21
110,حي الهدى,1638,46
111,حي الفيحاء,3556,66
112,حي الربوة,3476,66
113,حي ديراب,668,21
114,حي الخالدية,302,16
115,حي المعيزلة,564,21
116,حي الوسام,3350,26
117,حي الرانوناء,2960,41
118,حي الملك فيصل,578,21
119,حي السعادة,460,21
120,حي الربوة,438,21
121,حي الصدفة,1246,18
122,حي نبلاء,3086,41
123,حي الامانة,1188,18
124,حي الورود,624,21
125,حي النزهة,602,21
126,حي الجامعيين,2278,52
127,حي الشقة,2314,52
128,حي درة المنسك,3832,1
129,حي سلطانة,2402,52
130,حي المروج,548,21
131,حي الفلاح,3554,66
132,حي الملك فهد,576,21
133,حي الزهرة,458,21
134,حي ثول,3416,64
135,حي احد,1180,18
136,حي الاندلس,396,21
137,حي ابحر الجنوبية,3422,66
138,حي الراشدية,3712,94
139,حي السليمانية,468,21
140,حي الخالدية,3382,34
141,حي ابرق الرغامة,3426,66
142,حي التعاون,404,21
143,حي العريجاء الوسطى,500,21
144,حي الدفاع,2954,41
145,حي السويفلة,2036,67
146,حي الجنادرية,902,63
147,حي الرجاء,1082,12
148,حي مشرف,296,13
149,حي الامواج,3432,66
150,حي الرحاب,3478,66
151,حي الشاطئ,3514,66
152,حي لبن,708,21
153,حي الواحة,1640,46
154,حي النعيم,3606,66
155,حي الروابي,450,21
156,حي الفيحاء,1270,18
157,حي ظهرة البديعة,686,21
158,حي الملز,568,21
159,حي الشوقية,3734,94
160,حي ابو معن,1866,85
161,حي الزاهر,266,13
162,حي الطرف,1584,46
163,حي الملك فهد,3022,41
164,حي الفضيلة,3552,66
165,حي بطحاء قريش,3782,94
166,حي الريان,454,21
167,حي المنتزه,1290,18
168,حي النسيم,3604,66
169,حي الرحمانية,442,21
170,حي الملك عبدالله,870,40
171,حي الشهداء,482,21
172,حي الفرسان,1266,18
173,حي البشائر,3446,66
174,حي رماح,942,76
175,حي الندى,1298,18
176,حي المغرزات,566,21
177,حي المرسلات,544,21
178,حي المحمدية,3578,66
179,حي الجسر,1062,12
180,حي النهضة,4058,70
181,حي الزهراء,3496,66
182,حي أحد,646,21
183,حي النسيم الشرقي,604,21
184,حي مطار الملك خالد الدولي,712,21
185,حي غرناطة,896,43
186,حي المطار,3018,41
187,حي النهضة,3608,66
188,حي الأمل,1194,18
189,حي السويدي الغربي,472,21
190,حي البساتين,3444,66
191,حي الروضة,3486,66
192,حي النسية,2054,67
193,حي الحمراء و ام الجود,3704,94
194,حي الغدير,514,21
195,حي الخزامى,1076,12
196,حي الضباب,1252,18
197,حي السكة الحديدية,2976,41
198,حي النايفية,1632,46
199,حي المنار,2584,91
200,حي الفيصلية,1272,18
201,حي جامعة الدمام,1314,18
202,حي ورقان,3088,41
203,حي الدريهمية,428,21
204,حي شخيب,892,43
205,حي الروابي,3484,66
206,حي المنار,582,21
207,حي العوالي,3752,94
208,حي الهياثم,900,47
209,حي شوران,3066,41
210,حي الصفاء,272,13
211,حي السكب,2974,41
212,حي الهدا,618,21
213,حي القصور,1348,27
214,حي السامر,3500,66
215,حي الفيصلية,280,13
216,حي المطار,1286,18
217,حي مذينب,3080,41
218,حي السلام,464,21
219,حي الديرة القديمة,906,63
220,حي الرائد,436,21
221,حي النوارية,3774,94
222,حي بيش,138,56
223,حي العزيزية,2994,41
224,حي الفيحاء,526,21
225,حي العمرة الجديدة,3750,94
226,حي المرجان,3584,66
227,حي الصفا,488,21
228,حي ابو سبعة,2838,59
229,حي الروابي,146,65
230,حي الريان,2304,52
231,حي الهدا,890,43
232,حي الملك فهد,2582,91
233,حي المعذر الشمالي,560,21
234,حي العزيزية,3854,4
235,حي الظفير,4430,5
236,حي المنتزه,3594,66
237,حي العرين,3804,1
238,حي المروة,546,21
239,حي البدنة,2022,67
240,حي الراشدية,260,13
241,حي ازميرالدا,3668,93
242,حي الشرفية,3798,1
243,حي المعمورة,4048,70
244,حي الكوثر,3570,66
245,حي المحمدية,2566,91
246,حي الخمرة,3474,66
247,حي العليا,884,43
248,حي الصناعية الجديدة,274,13
249,حي الحناكية,2920,11
250,حي الشفاء,948,82
251,حي الشرائع,3730,94
252,حي شبرا,674,21
253,حي مخطط الرواف,2408,52
254,حي الجامعيين,1204,18
255,حي القاع البارد,2340,52
256,حي المروج,3816,1
257,حي حدري البلاد,2062,67
258,حي خب القبر,2390,52
259,حي الخضراء,3708,94
260,حي الشاطئ الشرقي,1238,18
261,حي ام حبلين,3626,66
262,حي ام السلم,3624,66
263,حي السلام,2978,41
264,حي بني مالك,3634,66
265,حي الحيلة الغربي,4096,92
266,حي المدينة الصناعية الجديدة,540,21
267,حي الراكة الجنوبية,1080,12
268,حي الخريمي,2024,67
269,حي الورود,3618,66
270,حي بقعاء,2014,53
271,حي الفيصلية,3338,26
272,حي غسلة,960,82
273,حي البحيرات,3686,94
274,حي الزرقاء,2306,52
275,حي النزهة,2452,78
276,حي الاميرعبدالمجيد,3438,66
277,حي طويق,894,43
278,حي المروج,2572,91
279,حي النبهانية,2256,44
280,حي جرير,662,21
281,حي النخيل,3596,66
282,حي القرى,3812,1
283,حي السروات,3796,1
284,حي الغنامية,516,21
285,حي الجوهرة,1208,18
286,حي الشاطئ الغربي,1240,18
287,حي البوادي,3454,66
288,حي القادسية,2120,7
289,حي مخطط المحمدية,2126,7
290,حي العزيزية,278,13
291,حي هذلولة,898,43
292,حي العسيلة,36,2
293,حي الجزيرة,408,21
294,حي قلعة مخيط,3076,41
295,حي الخزامى,2026,67
296,حي ذلالة,4068,70
297,حي السلي,466,21
298,حي الخزامى,258,13
299,حي بريمان,3632,66
300,حي الضباط,492,21
301,حي المهدج,56,2
302,حي الخالدية,3320,26
303,حي العزيزية,3538,66
304,حي الراشدية,1548,46
305,حي الزهور,1230,18
306,حي الزهور,3846,4
