price_range_id,price_range_from,price_range_to
0,2,200002
1,200002,400002
2,400002,600002
3,600002,800002
4,800002,1000002
5,1000002,1200002
6,1200002,1400002
7,1400002,1600002
8,1600002,1800002
9,1800002,2000002
10,2000002,2200002
11,2200002,2400002
12,2400002,2600002
13,2600002,2800002
14,2800002,3000002
15,3000002,3200002
16,3200002,3400002
17,3400002,3600002
18,3600002,3800002
19,3800002,4000002
20,4000002,4200002
21,4200002,4400002
22,4400002,4600002
23,4600002,4800002
24,4800002,5000002
25,5000002,5200002
26,5200002,5400002
27,5400002,5600002
28,5600002,5800002
